ElementID,Verdict,PropID,CentroidX,CentroidY,CentroidZ,MinEdge_mm,AspectRatio,MaxAngle_deg,Action
372840,COLLAPSED,8,-8384.238,-2521.206,8031.677,0.002,18578.112,287.368,auto_convert_TRIA3
374598,BOWTIE,8,531.117,-1171.697,8864.027,38.335,6.175,350.681,auto_reorder
375300,COLLAPSED,8,-5376.07,2500.037,26723.731,0.005,11341.44,315.281,auto_convert_TRIA3
376924,COLLAPSED,8,-5376.07,-2499.963,26723.731,0.005,11341.44,315.281,auto_convert_TRIA3
377671,COLLAPSED,8,-4610.695,-2499.963,26723.898,0.005,11438.055,315.758,auto_convert_TRIA3
381262,COLLAPSED,8,-9493.382,1894.766,11034.97,0,274933.152,327.587,auto_convert_TRIA3
381881,COLLAPSED,8,-9493.382,1881.034,11011.476,0,367347.65,316.963,auto_convert_TRIA3
382045,COLLAPSED,8,-9493.382,2209.412,18826.52,0.001,74701.373,316.397,auto_convert_TRIA3
382212,COLLAPSED,8,-9493.382,-1894.839,11035.28,0,274933.115,326.788,auto_convert_TRIA3
382819,COLLAPSED,8,-9493.382,-1880.959,11011.476,0,367347.601,316.963,auto_convert_TRIA3
384218,COLLAPSED,8,-9493.382,-2209.337,18806.718,0.001,75160.427,316.729,auto_convert_TRIA3
390020,BOWTIE,10,-9486.596,2757.173,8759.634,0.188,301.14,317.535,auto_reorder
391035,BOWTIE,10,-1191.588,2491.863,9084.915,0.094,447.456,309.237,auto_reorder
393143,BOWTIE,10,-9486.596,-2757.098,8759.634,0.188,301.14,317.535,auto_reorder
410563,BOWTIE,10,-772.513,2496.565,9466.756,0.096,416.565,335.041,auto_reorder
420133,BOWTIE,10,-4600.882,2252.103,13153.702,5.567,3.694,303.363,auto_reorder
420147,BOWTIE,10,-4600.882,2269.517,13144.085,5.567,7.484,315.392,auto_reorder
423289,BOWTIE,10,-4600.882,2747.972,13153.702,5.567,3.694,303.363,auto_reorder
423304,BOWTIE,10,-4600.882,2730.558,13144.085,5.567,7.484,315.392,auto_reorder
429105,BOWTIE,10,-1191.588,2508.211,9084.915,0.094,447.456,309.237,auto_reorder
444565,BOWTIE,10,-4600.882,-2252.028,13153.702,5.567,3.694,303.363,auto_reorder
444580,BOWTIE,10,-4600.882,-2269.442,13144.085,5.567,7.484,315.392,auto_reorder
445533,COLLAPSED,10,-4600.882,-2498.013,26700.475,0.005,7987.502,342.792,auto_convert_TRIA3
447901,BOWTIE,10,-4600.882,-2747.897,13153.702,5.567,3.694,303.363,auto_reorder
447915,BOWTIE,10,-4600.882,-2730.483,13144.085,5.567,7.484,315.392,auto_reorder
449533,COLLAPSED,10,-4600.882,-2501.913,26700.475,0.005,7987.502,342.792,auto_convert_TRIA3
460377,BOWTIE,10,-772.513,2503.51,9466.756,0.096,416.565,335.041,auto_reorder
476188,COLLAPSED,14,-14136.678,-2179.619,8929.077,0.003,14019.924,304.041,auto_convert_TRIA3
476390,COLLAPSED,14,-14170.098,-2179.735,8929.077,0.003,14054.983,304.083,auto_convert_TRIA3
477631,COLLAPSED,14,-17381.678,-2179.619,8929.077,0.003,14019.924,304.041,auto_convert_TRIA3
477833,COLLAPSED,14,-17415.098,-2179.735,8929.077,0.003,14054.983,304.083,auto_convert_TRIA3
478081,COLLAPSED,14,-20626.678,-2179.619,8929.077,0.003,14019.924,304.041,auto_convert_TRIA3
